fir_number,date,district,area,crime_type,sections,modus_operandi,status,is_synthetic
FIR-2025-TUM-0021,2025-09-08,Tumakuru,Kara Street,Chain Snatching,BNS 304,market crowd snatching,closed,True
FIR-2025-SHI-0022,2025-10-08,Shivamogga,Parmer Circle,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2024-BAG-0023,2024-02-12,Bagalkot,Naik,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2025-DAK-0024,2025-10-23,Dakshina Kannada,Shetty Zila,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2025-DHA-0025,2025-01-31,Dharwad,Bal Zila,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2025-UDU-0026,2025-11-25,Udupi,Agate Street,NDPS,NDPS Act 20,hostel network supply,under-investigation,True
FIR-2025-MAN-0027,2025-11-10,Mandya,Jha,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-KOL-0028,2025-03-09,Kolar,Bassi Ganj,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2025-HAS-0029,2025-06-23,Hassan,Sha Zila,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2025-MAN-0030,2025-02-24,Mandya,Dass Ganj,Murder,BNS 103,gang rivalry,closed,True
FIR-2025-SHI-0031,2025-04-17,Shivamogga,Rao Nagar,Burglary,BNS 331,lock-picking daytime entry,court-pending,True
FIR-2025-CHI-0032,2025-10-18,Chickballapura,Soni Zila,Murder,BNS 103,personal enmity,court-pending,True
FIR-2024-BAG-0033,2024-10-06,Bagalkot,Naik,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-UDU-0034,2024-02-24,Udupi,Agate Street,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2025-KAL-0035,2025-12-13,Kalaburagi,Kant,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2024-SHI-0036,2024-08-31,Shivamogga,Patil Ganj,Theft,BNS 303,shop till theft,court-pending,True
FIR-2024-DHA-0037,2024-10-25,Dharwad,Zachariah Street,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-BEN-0038,2025-01-17,Bengaluru City,Zacharia Street,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2024-HAS-0039,2024-02-15,Hassan,Sha Zila,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2025-VIJ-0040,2025-04-13,Vijayapur,Tailor Road,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2025-HAS-0041,2025-11-02,Hassan,Kala Zila,Murder,BNS 103,property dispute,under-investigation,True
FIR-2025-TUM-0042,2025-06-15,Tumakuru,Rana Zila,Cyber Fraud,IT Act 66D,fake loan app extortion,under-investigation,True
FIR-2024-BAG-0043,2024-06-19,Bagalkot,Ghosh Nagar,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2024-BAG-0044,2024-02-01,Bagalkot,Khanna Path,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2025-MAN-0045,2025-01-14,Mandya,Johal Zila,Extortion,BNS 308,protection money demand,convicted,True
FIR-2024-DAV-0046,2024-04-30,Davanagere,Kalla Path,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2024-BAG-0047,2024-06-25,Bagalkot,Khanna Path,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2025-VIJ-0048,2025-06-04,Vijayapur,Chatterjee Zila,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2025-DHA-0049,2025-06-22,Dharwad,Aurora Street,Extortion,BNS 308,protection money demand,convicted,True
FIR-2024-BEL-0050,2024-02-26,Belagavi,Dasgupta Circle,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-RAI-0051,2024-07-20,Raichur,Sandhu Marg,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2025-VIJ-0052,2025-08-13,Vijayapur,Rama Street,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2024-BAG-0053,2024-10-31,Bagalkot,Khanna Path,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2024-BEL-0054,2024-11-22,Belagavi,Pillay Chowk,Cyber Fraud,IT Act 66D,fake loan app extortion,charge-sheeted,True
FIR-2025-SHI-0055,2025-04-23,Shivamogga,Rao Nagar,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2025-CHI-0056,2025-05-21,Chickballapura,Soni Zila,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2024-RAI-0057,2024-02-22,Raichur,Srinivas Nagar,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2025-KAL-0058,2025-01-09,Kalaburagi,Sinha Ganj,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2025-UDU-0059,2025-09-19,Udupi,Agate Street,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2025-CHI-0060,2025-09-03,Chickballapura,Soni Zila,Rioting,BNS 191,communal flashpoint clash,closed,True
FIR-2025-BAL-0061,2025-11-28,Ballari,Prabhakar Chowk,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-KAL-0062,2025-12-23,Kalaburagi,Sinha Ganj,Murder,BNS 103,gang rivalry,court-pending,True
FIR-2025-BAL-0063,2025-05-10,Ballari,Dubey,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-DAV-0064,2025-05-06,Davanagere,Kalla Path,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2025-DAV-0065,2025-03-28,Davanagere,Saxena Chowk,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2024-BAL-0066,2024-08-19,Ballari,Prabhakar Chowk,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2025-VIJ-0067,2025-10-28,Vijayapur,Yogi Ganj,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2024-MYS-0068,2024-10-23,Mysuru,Mahajan Circle,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2024-BEL-0069,2024-07-16,Belagavi,Pillay Chowk,Theft,BNS 303,pickpocketing in transit,closed,True
FIR-2025-HAS-0070,2025-06-11,Hassan,Gupta Road,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2024-MAN-0071,2024-01-12,Mandya,Dass Ganj,Rioting,BNS 191,communal flashpoint clash,closed,True
FIR-2024-BAG-0072,2024-06-05,Bagalkot,Ghosh Nagar,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-MAN-0073,2025-06-24,Mandya,Nath Nagar,Extortion,BNS 308,protection money demand,closed,True
FIR-2025-KOL-0074,2025-08-20,Kolar,Mitra Circle,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2024-BEN-0075,2024-09-17,Bengaluru City,Iyer Street,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2024-KAL-0076,2024-07-03,Kalaburagi,Kant,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2025-KOL-0077,2025-02-06,Kolar,Thakur Chowk,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2024-KAL-0078,2024-09-10,Kalaburagi,Narang Nagar,Burglary,BNS 331,night house-break via rear entry,under-investigation,True
FIR-2025-MYS-0079,2025-12-21,Mysuru,Kurian Street,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2024-KAL-0080,2024-11-05,Kalaburagi,Sinha Ganj,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2025-MYS-0081,2025-05-22,Mysuru,Merchant Chowk,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2024-KAL-0082,2024-08-18,Kalaburagi,Kant,Burglary,BNS 331,terrace entry,closed,True
FIR-2025-BAG-0083,2025-10-24,Bagalkot,Ghosh Nagar,Cyber Fraud,IT Act 66D,fake loan app extortion,under-investigation,True
FIR-2024-VIJ-0084,2024-01-16,Vijayapur,Chatterjee Zila,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2024-SHI-0085,2024-11-25,Shivamogga,Rao Nagar,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-BAL-0086,2024-11-16,Ballari,Saini Circle,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2025-CHI-0087,2025-10-19,Chickballapura,Pathak Chowk,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2024-DHA-0088,2024-01-07,Dharwad,Ghosh Road,Murder,BNS 103,personal enmity,convicted,True
FIR-2024-BEN-0089,2024-01-17,Bengaluru City,Wali Path,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2024-UDU-0090,2024-12-28,Udupi,Kalita,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2025-RAI-0091,2025-02-19,Raichur,Swaminathan Zila,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2024-BAL-0092,2024-02-13,Ballari,Saini Circle,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2025-MYS-0093,2025-07-10,Mysuru,Kurian Street,Theft,BNS 303,shop till theft,closed,True
FIR-2024-UDU-0094,2024-09-03,Udupi,Agate Street,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2024-DHA-0095,2024-04-10,Dharwad,Ghosh Road,Murder,BNS 103,property dispute,convicted,True
FIR-2025-BAL-0096,2025-05-17,Ballari,Dubey,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2024-UDU-0097,2024-06-06,Udupi,Narasimhan Ganj,Theft,BNS 303,shop till theft,convicted,True
FIR-2025-RAI-0098,2025-04-04,Raichur,Swaminathan Zila,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2024-UDU-0099,2024-06-22,Udupi,Narasimhan Ganj,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2025-CHI-0100,2025-10-02,Chickballapura,Comar Circle,Burglary,BNS 331,night house-break via rear entry,charge-sheeted,True
FIR-2024-DHA-0101,2024-12-08,Dharwad,Ghosh Road,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2025-BEL-0102,2025-01-08,Belagavi,Dasgupta Circle,Cheating,BNS 318,land document forgery,court-pending,True
FIR-2025-TUM-0103,2025-12-10,Tumakuru,Rana Zila,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2024-BAG-0104,2024-03-16,Bagalkot,Ben Road,Cheating,BNS 318,land document forgery,court-pending,True
FIR-2025-MAN-0105,2025-11-04,Mandya,Dass Ganj,Burglary,BNS 331,night house-break via rear entry,court-pending,True
FIR-2024-BAL-0106,2024-01-11,Ballari,Saini Circle,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-SHI-0107,2024-04-17,Shivamogga,Rao Nagar,Extortion,BNS 308,protection money demand,closed,True
FIR-2025-CHI-0108,2025-06-17,Chickballapura,Sama Street,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2025-DAK-0109,2025-11-24,Dakshina Kannada,Rege Road,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2024-VIJ-0110,2024-01-30,Vijayapur,Rama Street,Cheating,BNS 318,fake job placement racket,court-pending,True
FIR-2025-HAS-0111,2025-10-16,Hassan,Bail,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2024-BEL-0112,2024-04-30,Belagavi,Dasgupta Circle,Cyber Fraud,IT Act 66D,fake loan app extortion,charge-sheeted,True
FIR-2024-DAK-0113,2024-05-23,Dakshina Kannada,Dey Zila,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2025-CHI-0114,2025-06-01,Chickballapura,Pathak Chowk,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2024-MYS-0115,2024-10-26,Mysuru,Merchant Chowk,Burglary,BNS 331,terrace entry,closed,True
FIR-2025-MAN-0116,2025-07-10,Mandya,Nath Nagar,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-BAG-0117,2024-02-03,Bagalkot,Ghosh Nagar,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2025-KAL-0118,2025-10-09,Kalaburagi,Sinha Ganj,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-DAV-0119,2025-08-09,Davanagere,Reddy Chowk,Theft,BNS 303,shop till theft,under-investigation,True
FIR-2024-HAS-0120,2024-05-29,Hassan,Sha Zila,Burglary,BNS 331,terrace entry,convicted,True
FIR-2025-TUM-0121,2025-12-15,Tumakuru,Rana Zila,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2024-BEL-0122,2024-02-17,Belagavi,Raj Road,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-MAN-0123,2024-03-25,Mandya,Dass Ganj,Theft,BNS 303,pickpocketing in transit,under-investigation,True
FIR-2024-CHI-0124,2024-08-06,Chickballapura,Sama Street,Murder,BNS 103,property dispute,court-pending,True
FIR-2025-UDU-0125,2025-05-04,Udupi,Kalita,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2025-VIJ-0126,2025-03-26,Vijayapur,Chatterjee Zila,Robbery,BNS 309,ATM-exit targeting,closed,True
FIR-2025-DHA-0127,2025-01-28,Dharwad,Bal Zila,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-MYS-0128,2024-10-29,Mysuru,Kurian Street,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2025-RAI-0129,2025-08-05,Raichur,Srinivas Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-KOL-0130,2024-10-20,Kolar,Mitra Circle,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2024-KAL-0131,2024-07-27,Kalaburagi,Narang Nagar,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-DHA-0132,2024-02-29,Dharwad,Zachariah Street,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2025-CHI-0133,2025-12-19,Chickballapura,Soni Zila,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2025-TUM-0134,2025-12-30,Tumakuru,Rana Zila,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2024-BEL-0135,2024-04-15,Belagavi,Dasgupta Circle,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2025-KAL-0136,2025-01-27,Kalaburagi,Sinha Ganj,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2025-KOL-0137,2025-08-08,Kolar,Chopra Circle,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-HAS-0138,2024-11-14,Hassan,Gupta Road,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2024-KAL-0139,2024-09-08,Kalaburagi,Chokshi Path,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2024-VIJ-0140,2024-04-16,Vijayapur,Chatterjee Zila,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2025-MAN-0141,2025-02-26,Mandya,Johal Zila,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2024-DAV-0142,2024-10-25,Davanagere,Kalla Path,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2024-BEL-0143,2024-05-19,Belagavi,Dasgupta Circle,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2024-MYS-0144,2024-11-07,Mysuru,Kurian Street,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2024-BEN-0145,2024-06-27,Bengaluru City,Wali Path,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-KAL-0146,2024-08-15,Kalaburagi,Sinha Ganj,Murder,BNS 103,property dispute,convicted,True
FIR-2024-BEL-0147,2024-12-05,Belagavi,Lalla Nagar,Robbery,BNS 309,knife-point street robbery,closed,True
FIR-2024-BAG-0148,2024-07-10,Bagalkot,Naik,Burglary,BNS 331,night house-break via rear entry,under-investigation,True
FIR-2025-KOL-0149,2025-03-05,Kolar,Thakur Chowk,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2024-DAK-0150,2024-10-03,Dakshina Kannada,Shetty Zila,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2025-DAK-0151,2025-02-01,Dakshina Kannada,Rege Road,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2025-VIJ-0152,2025-07-31,Vijayapur,Rama Street,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2024-VIJ-0153,2024-12-05,Vijayapur,Chatterjee Zila,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2024-UDU-0154,2024-03-15,Udupi,Kalita,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2025-DAK-0155,2025-11-12,Dakshina Kannada,Barad Nagar,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2024-BEL-0156,2024-08-14,Belagavi,Raj Road,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-DAV-0157,2024-12-24,Davanagere,Reddy Chowk,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2025-MAN-0158,2025-01-22,Mandya,Johal Zila,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2024-BEN-0159,2024-10-28,Bengaluru City,Zacharia Street,Murder,BNS 103,personal enmity,closed,True
FIR-2025-DAK-0160,2025-03-17,Dakshina Kannada,Barad Nagar,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-BEL-0161,2024-08-31,Belagavi,Lalla Nagar,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2025-CHI-0162,2025-11-08,Chickballapura,Comar Circle,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2025-DAV-0163,2025-05-15,Davanagere,Reddy Chowk,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2024-MYS-0164,2024-10-02,Mysuru,Kurian Street,Burglary,BNS 331,terrace entry,convicted,True
FIR-2025-DHA-0165,2025-06-19,Dharwad,Aurora Street,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2024-DHA-0166,2024-07-16,Dharwad,Zachariah Street,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2024-TUM-0167,2024-03-09,Tumakuru,Rana Zila,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2024-RAI-0168,2024-10-19,Raichur,Sandhu Marg,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2025-HAS-0169,2025-02-09,Hassan,Sha Zila,Murder,BNS 103,property dispute,under-investigation,True
FIR-2024-CHI-0170,2024-10-14,Chickballapura,Sama Street,Theft,BNS 303,vehicle theft from parking,closed,True
FIR-2025-BAG-0171,2025-10-23,Bagalkot,Naik,Rioting,BNS 191,protest escalation,closed,True
FIR-2024-KOL-0172,2024-11-14,Kolar,Mitra Circle,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2025-VIJ-0173,2025-01-04,Vijayapur,Yogi Ganj,Murder,BNS 103,property dispute,charge-sheeted,True
FIR-2025-BAG-0174,2025-01-16,Bagalkot,Naik,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2024-BEN-0175,2024-10-18,Bengaluru City,Wali Path,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2024-BEN-0176,2024-01-21,Bengaluru City,Wali Path,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2025-UDU-0177,2025-03-09,Udupi,Agate Street,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2025-SHI-0178,2025-10-24,Shivamogga,Parmer Circle,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2025-HAS-0179,2025-09-06,Hassan,Sha Zila,Burglary,BNS 331,terrace entry,convicted,True
FIR-2025-RAI-0180,2025-12-31,Raichur,Swaminathan Zila,Cyber Fraud,IT Act 66D,OTP social engineering,closed,True
FIR-2025-DAK-0181,2025-07-26,Dakshina Kannada,Dey Zila,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2024-BEL-0182,2024-10-28,Belagavi,Raj Road,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-BAG-0183,2024-07-24,Bagalkot,Naik,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2025-DAV-0184,2025-04-07,Davanagere,Bali Road,Murder,BNS 103,personal enmity,convicted,True
FIR-2025-DHA-0185,2025-02-17,Dharwad,Aurora Street,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2025-BAL-0186,2025-10-03,Ballari,Saini Circle,Murder,BNS 103,property dispute,convicted,True
FIR-2025-KOL-0187,2025-06-16,Kolar,Bassi Ganj,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2024-VIJ-0188,2024-05-14,Vijayapur,Tailor Road,Burglary,BNS 331,night house-break via rear entry,court-pending,True
FIR-2025-MYS-0189,2025-09-30,Mysuru,Mahajan Circle,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2025-KAL-0190,2025-12-19,Kalaburagi,Sinha Ganj,Extortion,BNS 308,protection money demand,convicted,True
FIR-2024-VIJ-0191,2024-04-18,Vijayapur,Yogi Ganj,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2024-TUM-0192,2024-08-28,Tumakuru,Borra Chowk,Cyber Fraud,IT Act 66D,courier scam,convicted,True
FIR-2024-MAN-0193,2024-10-24,Mandya,Jha,Robbery,BNS 309,knife-point street robbery,charge-sheeted,True
FIR-2024-BAG-0194,2024-12-02,Bagalkot,Ghosh Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2025-DAK-0195,2025-03-07,Dakshina Kannada,Shetty Zila,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-BEN-0196,2025-01-02,Bengaluru City,Iyer Street,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2024-BAL-0197,2024-04-07,Ballari,Chaudhary Marg,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-CHI-0198,2025-04-25,Chickballapura,Comar Circle,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2025-BAG-0199,2025-08-09,Bagalkot,Khanna Path,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2024-TUM-0200,2024-01-01,Tumakuru,Pau Marg,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2024-RAI-0201,2024-12-05,Raichur,Swaminathan Zila,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2025-KOL-0202,2025-07-14,Kolar,Bassi Ganj,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2024-UDU-0203,2024-05-03,Udupi,Narasimhan Ganj,Burglary,BNS 331,night house-break via rear entry,charge-sheeted,True
FIR-2025-KOL-0204,2025-04-13,Kolar,Thakur Chowk,Extortion,BNS 308,protection money demand,closed,True
FIR-2024-HAS-0205,2024-04-16,Hassan,Bail,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2025-RAI-0206,2025-06-08,Raichur,Sandhu Marg,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-HAS-0207,2025-10-14,Hassan,Gupta Road,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2025-BEL-0208,2025-06-19,Belagavi,Lalla Nagar,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2024-VIJ-0209,2024-10-29,Vijayapur,Tailor Road,Chain Snatching,BNS 304,market crowd snatching,charge-sheeted,True
FIR-2025-MYS-0210,2025-12-13,Mysuru,Contractor Path,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2025-MAN-0211,2025-10-10,Mandya,Dass Ganj,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2024-DHA-0212,2024-02-11,Dharwad,Bal Zila,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2024-MYS-0213,2024-11-26,Mysuru,Merchant Chowk,Chain Snatching,BNS 304,market crowd snatching,charge-sheeted,True
FIR-2024-DHA-0214,2024-06-12,Dharwad,Aurora Street,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2024-BAL-0215,2024-09-03,Ballari,Prabhakar Chowk,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2025-KOL-0216,2025-01-18,Kolar,Mitra Circle,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2025-BEN-0217,2025-06-30,Bengaluru City,Sagar Path,NDPS,NDPS Act 20,hostel network supply,under-investigation,True
FIR-2025-KAL-0218,2025-12-03,Kalaburagi,Chokshi Path,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2025-UDU-0219,2025-02-21,Udupi,Dhillon Road,Theft,BNS 303,shop till theft,court-pending,True
FIR-2024-KOL-0220,2024-03-15,Kolar,Chopra Circle,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-KAL-0221,2024-08-13,Kalaburagi,Kant,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2024-UDU-0222,2024-02-12,Udupi,Kalita,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
